"","Symbol","A13A"
"202","ACTR1A",12.0619989211363
"203","ACTR1B",11.6939111400284
"204","ACTR2",12.5109261051192
"205","ACTR3",11.8807128890221
"206","ACTR3B",9.17686178097636
"207","ACTR3C",9.20303824544453
"208","ACTR5",9.243936644236
"209","ACTR6",8.30621478360021
"210","ACTR8",10.9031645078204
"211","ACTRT3",6.33374871184767
"212","ACVR1",11.9180926983035
"213","ACVR1B",12.787860550746
"214","ACVR1C",7.41171554739922
"215","ACVR2A",10.2327813785508
"216","ACVR2B",10.996298841481
"217","ACVR2B-AS1",8.56171981349269
"218","ACVRL1",11.3710232144387
"219","ACY1",7.13307868014539
"220","ACY3",11.7267012462051
"221","ACYP1",7.99175769371581
"222","ACYP2",9.41567433548551
"223","ADA",7.94423871592903
"224","ADAL",9.84041103982616
"225","ADAM10",12.0296471455711
"226","ADAM11",5.80613820195794
"227","ADAM12",9.36640692121229
"228","ADAM15",11.3876919123783
"229","ADAM17",10.6618823232409
"230","ADAM19",9.49285160870851
"231","ADAM1A",9.19972831345827
"232","ADAM20",7.97742729833734
"233","ADAM20P1",7.58438411425647
"234","ADAM21",7.06152765847892
"235","ADAM22",10.5325137017575
"236","ADAM23",7.22349153004624
"237","ADAM28",9.74691238757365
"238","ADAM32",5.9978895122841
"239","ADAM33",8.70521477393832
"240","ADAM8",9.60548616659687
"241","ADAM9",12.3477879719092
"242","ADAMDEC1",3.19709734180885
"243","ADAMTS1",11.9057544218883
"244","ADAMTS10",10.4765914619157
"245","ADAMTS12",9.15117556414859
"246","ADAMTS13",9.69451900595597
"247","ADAMTS14",5.15229659716059
"248","ADAMTS15",11.1061413849036
"249","ADAMTS16",10.9165788591907
"250","ADAMTS17",8.6158878733397
"251","ADAMTS18",6.76259940361822
"252","ADAMTS19",7.33126822558268
"253","ADAMTS2",10.4471742654676
"254","ADAMTS3",7.68743007591166
"255","ADAMTS4",6.80404234748428
"256","ADAMTS5",11.0686569300884
"257","ADAMTS6",7.88464982735229
"258","ADAMTS7",9.38874078355505
"259","ADAMTS8",7.30388492908398
"260","ADAMTS9",12.5103954555935
"261","ADAMTS9-AS1",11.9613783159904
"262","ADAMTS9-AS2",10.4158837122563
"263","ADAMTSL1",10.2844425695115
"264","ADAMTSL2",12.0653800199989
"265","ADAMTSL3",10.9193003063441
"266","ADAMTSL4",10.406399003326
"267","ADAMTSL4-AS1",7.95421474791426
"268","ADAMTSL5",7.0493836197018
"269","ADAP1",10.4765914619157
"270","ADAP2",10.6965399887252
"271","ADAR",14.1395750420209
"272","ADARB1",11.203370767444
"273","ADARB2",4.90098801604907
"274","ADAT1",10.9078153744345
"275","ADAT2",8.43877274970881
"276","ADAT3",8.65323275386692
"277","ADCK1",9.38242218842101
"278","ADCK2",9.76450580071934
"279","ADCK5",8.73102957970194
"280","ADCY1",10.6232858014574
"281","ADCY10",6.58079472556951
"282","ADCY10P1",9.25862659941898
"283","ADCY2",6.27031102375684
"284","ADCY3",10.9937590004589
"285","ADCY4",11.1766919320739
"286","ADCY5",10.83028019339
"287","ADCY6",12.4868506595603
"288","ADCY7",10.8151590732401
"289","ADCY9",12.7964087016383
"290","ADCYAP1",5.73857028521032
"291","ADCYAP1R1",3.92273628066783
"292","ADD1",13.9566997568179
"293","ADD2",3.53828715327242
"294","ADD3",13.6797520439912
"295","ADGRA1",6.24414768971317
"296","ADGRA2",12.0137940580363
"297","ADGRA3",11.2739624663274
"298","ADGRB1",7.86515660514814
"299","ADGRB2",9.06406318918231
"300","ADGRB3",6.58079472556951
"301","ADGRD1",7.59107212158236
"302","ADGRE1",4.78173364085791
"303","ADGRE2",8.45407215426452
"304","ADGRE3",4.54237046582629
"305","ADGRE4P",5.15229659716059
"306","ADGRE5",11.62653305149
"307","ADGRF1",10.5227313682739
"308","ADGRF3",7.99996327155258
"309","ADGRF5",13.6570460887905
"310","ADGRG1",14.9239796104888
"311","ADGRG2",8.43877274970881
"312","ADGRG3",6.47438044312827
"313","ADGRG4",0.945074371144915
"314","ADGRG5",11.2483888100251
"315","ADGRG6",11.2483888100251
"316","ADGRL1",11.5441759136308
"317","ADGRL2",12.1887873070429
"318","ADGRL3",8.46836867214384
"319","ADGRL4",8.81285684443152
"320","ADGRV1",9.99067696667272
"321","ADH1B",12.5839909819522
"322","ADH1C",9.82253081637894
"323","ADH5",12.755858392127
"324","ADH6",11.4717832983267
"325","ADHFE1",10.7415252862352
"326","ADI1",13.6944177992285
"327","ADIPOQ",6.33374871184767
"328","ADIPOR1",12.0117216260225
"329","ADIPOR2",11.5374670428816
"330","ADIRF",12.1963623948452
"331","ADK",9.96487375822023
"332","ADM",10.2440480183697
"333","ADM2",12.0587994195027
"334","ADM5",7.31909081834
"335","ADNP",12.5605978972098
"336","ADNP-AS1",6.87824679388885
"337","ADNP2",11.1048675263671
"338","ADO",10.1379199441379
"339","ADORA1",9.09677651204386
"340","ADORA2A",6.84222365637459
"341","ADORA2A-AS1",10.7528653188392
"342","ADORA2B",7.08718137956048
"343","ADORA3",6.68834341022528
"344","ADPGK",10.8367459545346
"345","ADPRH",8.93516772789323
"346","ADPRHL1",6.68834341022528
"347","ADPRHL2",10.1434389518714
"348","ADPRM",7.58438411425647
"349","ADRA1A",7.84660290844377
"350","ADRA1B",9.60867026034594
"351","ADRA2A",9.23200895888449
"352","ADRA2B",8.75061411633158
"353","ADRA2C",9.79402249377915
"354","ADRB1",7.41171554739922
"355","ADRB2",7.37349098532361
"356","ADRM1",11.4821989212254
"357","ADSL",10.6586199287238
