gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,
NovelmiRNA-626,2.528878335,-3.614053206,2.18711461,-1.652429731,0.098446979,0.694462852,,,0.945479704,,,,,,
NovelmiRNA-677,2.528878335,-3.614053206,2.18711461,-1.652429731,0.098446979,0.694462852,,,0.939814572,,,,,,
NovelmiRNA-867,2.528878335,-3.614053206,2.18711461,-1.652429731,0.098446979,0.694462852,,,0.939814572,,,,,,
NovelmiRNA-983,2.528878335,-3.614053206,2.18711461,-1.652429731,0.098446979,0.694462852,,,0.939814572,,,,,,
NovelmiRNA-1089,2.528878335,-3.614053206,2.18711461,-1.652429731,0.098446979,0.694462852,,,0.935216425,,,,,,
NovelmiRNA-1162,1.978926928,-3.612458371,2.176369266,-1.659855442,0.096943537,0.694462852,,,0.9348071,,,,,,
NovelmiRNA-1068,7.63659641,-3.590883009,2.211927252,-1.623418223,NA,NA,,,0.916541536,,,,,,
NovelmiRNA-709,1.940472104,-3.590462663,2.178031657,-1.648489659,0.099252231,0.694462852,,,0.916541536,,,,,,
NovelmiRNA-929,7.509319803,-3.58503335,2.21207609,-1.620664572,NA,NA,,,0.907348954,,,,,,
NovelmiRNA-341,1.8611723,-3.582450273,2.177524434,-1.645194064,0.099929797,0.694462852,,,0.907348954,,,,,,
NovelmiRNA-751,6.885688892,-3.553724796,2.212871618,-1.60593356,NA,NA,,,0.907348954,,,,,,
NovelmiRNA-460,1.817358947,-3.550696057,2.179916273,-1.628822217,0.10335066,0.694462852,,,0.907348954,,,,,,
NovelmiRNA-113,6.743675559,-3.544255892,2.213111822,-1.60148071,NA,NA,,,0.907348954,,,,,,
NovelmiRNA-491,6.618383555,-3.539919319,2.213221752,-1.599441771,NA,NA,,,0.907348954,,,,,,
NovelmiRNA-259,2.318138474,-3.505242036,2.194565485,-1.597237385,0.110212802,0.694462852,,,0.904318612,,,,,,
NovelmiRNA-801,2.318138474,-3.505242036,2.194565485,-1.597237385,0.110212802,0.694462852,,,0.904080588,,,,,,
NovelmiRNA-826,2.318138474,-3.505242036,2.194565485,-1.597237385,0.110212802,0.694462852,,,0.903993305,,,,,,
NovelmiRNA-513,5.860160759,-3.49387206,2.214386221,-1.577806088,NA,NA,,,0.9037899,,,,,,
NovelmiRNA-743,5.860160759,-3.49387206,2.214386221,-1.577806088,NA,NA,,,0.89391269,,,,,,
NovelmiRNA-682,5.689976253,-3.480198529,2.214730848,-1.571386668,NA,NA,,,0.89391269,,,,,,
NovelmiRNA-874,5.689976253,-3.480198529,2.214730848,-1.571386668,NA,NA,,,0.89391269,,,,,,
NovelmiRNA-735,2.197560285,-3.464299477,2.197182596,-1.576700764,0.114864395,0.694462852,,,0.89391269,,,,,,
NovelmiRNA-934,2.197560285,-3.464299477,2.197182596,-1.576700764,0.114864395,0.694462852,,,0.89391269,,,,,,
NovelmiRNA-945,2.197560285,-3.464299477,2.197182596,-1.576700764,0.114864395,0.694462852,,,0.873593436,,,,,,
NovelmiRNA-1186,2.163702316,-3.454045395,2.197795235,-1.571595634,NA,NA,,,0.867984809,,,,,,
NovelmiRNA-116,2.107398612,-3.389088439,2.201995281,-1.539098866,0.123780162,0.694462852,,,0.867984809,,,,,,
NovelmiRNA-121,2.107398612,-3.389088439,2.201995281,-1.539098866,0.123780162,0.694462852,,,0.867832335,,,,,,
NovelmiRNA-299,2.107398612,-3.389088439,2.201995281,-1.539098866,0.123780162,0.694462852,,,0.864298754,,,,,,
NovelmiRNA-621,2.107398612,-3.389088439,2.201995281,-1.539098866,0.123780162,0.694462852,,,0.85563534,,,,,,
NovelmiRNA-1095,2.107398612,-3.389088439,2.201995281,-1.539098866,0.123780162,0.694462852,,,0.85563534,,,,,,
NovelmiRNA-1119,2.107398612,-3.389088439,2.201995281,-1.539098866,0.123780162,0.694462852,,,0.85563534,,,,,,
NovelmiRNA-300,2.051056266,-3.381128099,2.202434874,-1.535177334,0.124740274,0.694462852,,,0.85563534,,,,,,
hsa-miR-6886-3p,1.562805733,-3.368094463,2.193401304,-1.535557792,0.124646873,0.694462852,,,0.852166677,,,,,,
hsa-miR-6787-3p,1.904552247,-3.294728411,2.207541026,-1.492487964,0.13557127,0.694462852,,,0.852166677,,,,,,
hsa-miR-5690,1.426585366,-3.27433144,2.20008744,-1.488273321,0.136678828,0.694462852,,,0.838170095,,,,,,
hsa-miR-3942-5p,1.896658751,-3.265077107,2.209257683,-1.47790687,0.139432707,0.694462852,,,0.838170095,,,,,,
NovelmiRNA-213,1.896658751,-3.265077107,2.209257683,-1.47790687,0.139432707,0.694462852,,,0.838170095,,,,,,
NovelmiRNA-915,1.896658751,-3.265077107,2.209257683,-1.47790687,0.139432707,0.694462852,,,0.838170095,,,,,,
NovelmiRNA-956,1.896658751,-3.265077107,2.209257683,-1.47790687,0.139432707,0.694462852,,,0.838170095,,,,,,
NovelmiRNA-644,1.758048228,-3.203398375,2.212560256,-1.447824242,0.147666211,0.694462852,,,0.838170095,,,,,,
NovelmiRNA-1066,1.346707344,-3.185917211,2.205604315,-1.444464535,0.148608349,0.694462852,,,0.833129982,,,,,,
NovelmiRNA-869,1.268602618,-3.152245679,2.207094796,-1.428233026,0.153224798,0.694462852,,,0.831523516,,,,,,
NovelmiRNA-99,1.654595889,-3.144691788,2.215528513,-1.419386737,0.155786297,0.694462852,,,0.830718868,,,,,,
NovelmiRNA-1071,1.654595889,-3.144691788,2.215528513,-1.419386737,0.155786297,0.694462852,,,0.829680696,,,,,,
hsa-miR-5189-3p,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.829680696,,,,,,
hsa-miR-6728-5p,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.828243545,,,,,,
hsa-miR-378f,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.828243545,,,,,,
NovelmiRNA-283,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.828243545,,,,,,
NovelmiRNA-309,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.828243545,,,,,,
NovelmiRNA-529,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.827956791,,,,,,
NovelmiRNA-897,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.814670943,,,,,,
NovelmiRNA-908,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.808768432,,,,,,
NovelmiRNA-1090,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.807470746,,,,,,
NovelmiRNA-1117,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.807470746,,,,,,
NovelmiRNA-1237,1.68591889,-3.132912035,2.216141664,-1.413678596,0.157456293,0.694462852,,,0.802839978,,,,,,
NovelmiRNA-212,1.611544209,-3.107905057,2.217331015,-1.401642351,0.161022073,0.694462852,,,0.802839978,,,,,,
hsa-miR-6736-5p,1.224789265,-3.106738102,2.209747054,-1.405924762,0.159746467,0.694462852,,,0.802839978,,,,,,
NovelmiRNA-78,1.527319282,-3.058658475,2.219579838,-1.378034898,0.168192514,0.694462852,,,0.802839978,,,,,,
NovelmiRNA-386,1.527319282,-3.058658475,2.219579838,-1.378034898,0.168192514,0.694462852,,,0.802839978,,,,,,
NovelmiRNA-799,1.527319282,-3.058658475,2.219579838,-1.378034898,0.168192514,0.694462852,,,0.802839978,,,,,,
NovelmiRNA-921,1.527319282,-3.058658475,2.219579838,-1.378034898,0.168192514,0.694462852,,,0.802839978,,,,,,
NovelmiRNA-1016,1.527319282,-3.058658475,2.219579838,-1.378034898,0.168192514,0.694462852,,,0.802839978,,,,,,
NovelmiRNA-1265,1.527319282,-3.058658475,2.219579838,-1.378034898,0.168192514,0.694462852,,,0.802839978,,,,,,
hsa-miR-4524a-3p,1.114349915,-3.042243205,2.213016508,-1.374704253,0.169223152,0.694462852,,,0.802839978,,,,,,
hsa-miR-6741-5p,1.114349915,-3.042243205,2.213016508,-1.374704253,0.169223152,0.694462852,,,0.802839978,,,,,,
hsa-miR-4638-5p,1.095122503,-3.029914342,2.21355954,-1.368797309,0.171062642,0.694462852,,,0.802582746,,,,,,
hsa-miR-4469,1.135967483,-3.020697656,2.214524583,-1.364038891,0.172555326,0.694462852,,,0.799416094,,,,,,
hsa-miR-1256,1.075895091,-3.012942882,2.214468926,-1.360571308,0.173649204,0.694462852,,,0.796568737,,,,,,
hsa-miR-5680,1.46504019,-3.007623871,2.221783831,-1.353697794,0.175832812,0.694462852,,,0.793114585,,,,,,
NovelmiRNA-802,1.46504019,-3.007623871,2.221783831,-1.353697794,0.175832812,0.694462852,,,0.788038467,,,,,,
NovelmiRNA-835,1.46504019,-3.007623871,2.221783831,-1.353697794,0.175832812,0.694462852,,,0.787863623,,,,,,
NovelmiRNA-1214,1.46504019,-3.007623871,2.221783831,-1.353697794,0.175832812,0.694462852,,,0.787863623,,,,,,
hsa-miR-4748,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.782189352,,,,,,
hsa-miR-133a-3p,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.780882341,,,,,,
hsa-miR-6784-5p,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.780882341,,,,,,
NovelmiRNA-191,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.780882341,,,,,,
NovelmiRNA-398,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.780882341,,,,,,
NovelmiRNA-544,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.774193338,,,,,,
NovelmiRNA-758,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.774193338,,,,,,
NovelmiRNA-829,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.774193338,,,,,,
NovelmiRNA-848,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.774193338,,,,,,
NovelmiRNA-971,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.774193338,,,,,,
NovelmiRNA-1057,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.774193338,,,,,,
NovelmiRNA-1273,1.475179029,-2.990660331,2.222479867,-1.345641135,0.178418279,0.694462852,,,0.771540219,,,,,,
hsa-miR-6750-3p,1.071731641,-2.977932951,2.216396791,-1.343591979,0.179080365,0.694462852,,,0.771540219,,,,,,
NovelmiRNA-484,1.071731641,-2.977932951,2.216396791,-1.343591979,0.179080365,0.694462852,,,0.766844824,,,,,,
NovelmiRNA-68,1.400042675,-2.970353708,2.223257913,-1.336036494,0.181537345,0.694462852,,,0.763071632,,,,,,
NovelmiRNA-342,1.400042675,-2.970353708,2.223257913,-1.336036494,0.181537345,0.694462852,,,0.760327203,,,,,,
NovelmiRNA-590,1.400042675,-2.970353708,2.223257913,-1.336036494,0.181537345,0.694462852,,,0.754900078,,,,,,
NovelmiRNA-639,1.400042675,-2.970353708,2.223257913,-1.336036494,0.181537345,0.694462852,,,0.754900078,,,,,,
hsa-miR-4632-3p,0.987073309,-2.926015335,2.218751325,-1.318766687,0.187247124,0.694462852,,,0.754900078,,,,,,
NovelmiRNA-558,1.318536171,-2.9039969,2.225712077,-1.304749581,0.191978132,0.694462852,,,0.754900078,,,,,,
