Symbol	N3A
ACTR1B	11.6942085940753
ACTR2	12.5017409828679
ACTR3	11.7218642536455
ACTR3B	9.38101096054087
ACTR3C	9.91376126149053
ACTR5	9.32805014480875
ACTR6	8.86118973434076
ACTR8	11.1927142609965
ACTRT3	6.36597569292922
ACVR1	12.0585604046693
ACVR1B	12.8928774568606
ACVR1C	6.76259940361822
ACVR2A	10.5206910619818
ACVR2B	11.4801191906152
ACVR2B-AS1	8.99980987942846
ACVRL1	10.5997934528051
ACY1	7.1125325894225
ACY3	11.6236006889802
ACYP1	8.38725071608352
ACYP2	9.21900754294222
ADA	7.78253798667522
ADAL	9.72582036521409
ADAM10	12.1319901056574
ADAM11	6.52906497203583
ADAM12	8.42222196303497
ADAM15	10.6696402831004
ADAM17	10.834503191919
ADAM19	8.69316189769878
