Symbol	B3B
ACTR1A	11.9500309821591
ACTR1B	11.8859897743726
ACTR2	12.3276388804113
ACTR3	11.5334980986797
ACTR3B	9.28849480971016
ACTR3C	9.6291817547937
ACTR5	9.22187398280353
ACTR6	8.01191688672546
ACTR8	10.912863286961
ACTRT3	7.08181037636816
ACVR1	11.885500421929
ACVR1B	12.8483021949148
ACVR1C	6.16662038598125
ACVR2A	10.1786291045347
ACVR2B	11.2863349214216
ACVR2B-AS1	8.90943255315018
ACVRL1	11.2376828843707
ACY1	8.3727972428607
ACY3	12.3568701509874
ACYP1	8.32656956631307
ACYP2	9.23772886958116
ADA	8.06546844280631
ADAL	9.82113400312402
ADAM10	11.7460088798587
ADAM11	6.60355723384322
ADAM12	9.1377558536863
ADAM15	11.3488293646751
ADAM17	10.5041226762091
ADAM19	9.27348398967097
