Symbol	A21A
ACTR1A	12.2112704980214
ACTR1B	11.8852019713783
ACTR2	12.7079087764818
ACTR3	12.1810769212178
ACTR3B	9.47417368543977
ACTR3C	9.69865737748097
ACTR5	9.24750369446258
ACTR6	8.37000919126949
ACTR8	10.9665028790708
ACTRT3	7.06187834121914
ACVR1	11.6367525283574
ACVR1B	12.903547742475
ACVR1C	6.62535121173228
ACVR2A	10.2713565119935
ACVR2B	11.0682224717915
ACVR2B-AS1	7.8798629996021
ACVRL1	11.549028234119
ACY1	6.26074212855587
ACY3	11.2719824479937
ACYP1	8.03335482442949
ACYP2	9.37363817552309
ADA	8.40450131615476
ADAL	9.41463221857981
ADAM10	12.4250279755444
ADAM11	5.10727771339942
ADAM12	9.72986667559868
ADAM15	11.9327756226578
ADAM17	11.0382199828206
