Symbol	N8B
ACSM1	7.31680591827145
ACSM2A	15.0918696640242
ACSM2B	14.9605907421809
ACSM3	12.1606384376634
ACSM5	11.5649062737149
ACSM6	7.02905312399997
ACSS1	12.5693115629406
ACSS2	13.2126725007197
ACSS3	12.3854669547199
ACTA1	3.67448350725656
ACTA2	11.0146733820955
ACTA2-AS1	6.26443290368574
ACTB	16.0753885254894
ACTC1	5.51347395340785
ACTG1	14.9976070317497
ACTG1P20	7.74392212206874
ACTG1P4	6.41617892540374
ACTG2	5.9978895122841
ACTL10	8.3713108587684
ACTL6A	9.32743649895731
ACTN1	11.4759785540471
ACTN2	6.03111541918476
ACTN3	4.63956861016891
ACTN4	15.0080339814357
ACTR10	10.5516962035533
ACTR1A	11.9108112562408
ACTR1B	11.8011664806818
ACTR2	12.4440382315538
ACTR3	11.7702010942304
ACTR3B	9.4035401327011
ACTR3C	9.62866746151197
ACTR5	9.07020083294296
ACTR6	9.10797168719328
ACTR8	10.6919492550275
ACTRT3	6.88536296468828
ACVR1	11.730070319413
ACVR1B	12.9109609519968
ACVR1C	7.00777206167749
ACVR2A	10.2958407380497
ACVR2B	11.4392723281056
ACVR2B-AS1	9.06250181434076
ACVRL1	10.8653609310548
ACY1	8.29165245925814
ACY3	12.2977761705034
ACYP1	8.29816522686276
ACYP2	9.47066007686434
ADA	7.52232656514187
ADAL	9.89553334181341
ADAM10	12.0579169200269
ADAM11	6.76388810001173
ADAM12	9.14280401636181
ADAM15	11.0940971055473
ADAM17	10.7359973139067
ADAM19	8.57501923511421
ADAM1A	8.99849947566574
ADAM20	6.99111121128026
ADAM20P1	6.3284975347322
ADAM21	5.56989753217414
ADAM22	10.6189446810557
ADAM23	7.36452291834738
ADAM28	9.99105502859818
ADAM32	5.88542247156534
ADAM33	6.6837821911627
ADAM8	9.26881455932174
ADAM9	12.0950963877784
ADAMDEC1	3.09112137263895
ADAMTS1	12.4657677024165
ADAMTS10	9.67368980424465
ADAMTS12	8.46892957732909
ADAMTS13	10.1044306154273
ADAMTS14	5.08884217003472
ADAMTS15	10.8239998782833
ADAMTS16	10.6394040497903
ADAMTS17	10.2940166236442
ADAMTS18	6.19974575410394
ADAMTS19	8.27361735343536
ADAMTS2	8.59833781104287
ADAMTS3	7.66164399221412
ADAMTS4	8.84986419651529
ADAMTS5	10.2298066549178
ADAMTS6	7.76357794266192
ADAMTS7	8.67278809885435
ADAMTS8	8.81425258823291
ADAMTS9	12.6082295111076
ADAMTS9-AS1	12.6460991805982
ADAMTS9-AS2	11.0471828905193
ADAMTSL1	10.6513839293869
ADAMTSL2	11.064152387563
ADAMTSL3	10.5204235358219
ADAMTSL4	9.86340546032291
ADAMTSL4-AS1	6.94876002927253
ADAMTSL5	6.26443290368574
ADAP1	10.5398625922913
ADAP2	9.90696032143894
ADAR	14.0161605703724
ADARB1	10.7743502996408
ADARB2	6.74030433060901
ADAT1	11.0022960470826
ADAT2	8.17195726022967
ADAT3	8.89940606328774
ADCK1	9.44360638282159
ADCK2	9.89294136920711
ADCK5	8.75178226044068
ADCY1	10.0871205782939
ADCY10	6.97115422254024
